work_year,experience_level,salary_in_usd,remote_ratio,company_size,FL,FT,PT
2024,3,240500,0,3,0,1,0
2025,3,310500,0,2,0,1,0
2023,3,168000,100,2,0,1,0
2023,3,159500,0,2,0,1,0
2025,3,147000,100,2,0,1,0
2024,3,137510,0,2,0,1,0
2025,2,138000,100,2,0,0,0
2024,3,196100,0,2,0,1,0
2024,2,109000,100,2,0,1,0
2025,3,140000,0,2,0,1,0
2025,3,230000,0,2,0,1,0
2025,3,150000,0,2,0,1,0
2025,1,36000,0,2,0,1,0
2024,3,105200,100,2,0,1,0
2025,3,144000,0,2,0,1,0
2024,3,115200,0,2,0,1,0
2024,3,185000,100,2,0,1,0
2024,2,167500,0,2,0,1,0
2024,3,139000,0,2,0,1,0
2024,3,80000,0,2,0,1,0
2024,3,78592,0,2,0,1,0
2024,3,211000,0,2,0,1,0
2024,2,107000,0,2,0,1,0
2024,3,174915,100,2,0,1,0
2024,3,140000,100,2,0,1,0
2024,3,93500,0,2,0,1,0
2025,2,165000,100,2,0,1,0
2025,1,60300,0,2,0,1,0
2024,3,146000,0,2,0,1,0
2025,2,320000,0,2,0,1,0
2024,3,86840,0,2,0,1,0
2025,3,117200,0,2,0,1,0
2024,2,190000,100,2,0,1,0
2024,3,87600,0,2,0,1,0
2024,2,275000,0,2,0,1,0
2024,2,115000,100,2,0,1,0
2025,3,163983,0,2,0,1,0
2024,3,252900,0,2,0,1,0
2024,2,145900,100,2,0,1,0
2023,3,204500,0,2,0,1,0
2025,2,90000,0,2,0,1,0
2023,2,110000,100,2,0,1,0
2025,4,110000,100,2,0,1,0
2024,2,103500,100,2,0,1,0
2025,3,234000,0,2,0,1,0
2025,2,81700,0,2,0,1,0
2025,3,215400,100,2,0,1,0
2025,2,287100,100,2,0,1,0
2023,4,222000,0,2,0,1,0
2024,3,95000,0,2,0,1,0
2025,3,145200,0,2,0,1,0
2025,2,152500,0,2,0,1,0
2024,3,295000,0,2,0,1,0
2024,3,185000,0,2,0,1,0
2025,3,189175,0,2,0,1,0
2025,3,185000,100,2,0,1,0
2024,3,152000,0,2,0,1,0
2023,2,145000,100,2,0,1,0
2025,2,158100,0,2,0,1,0
2024,2,144000,0,2,0,1,0
2024,2,117000,0,2,0,1,0
2024,2,143000,100,2,0,1,0
2024,3,410000,0,2,0,1,0
2025,1,145500,0,2,0,1,0
2024,2,119100,0,2,0,1,0
2025,3,142000,0,2,0,1,0
2024,3,92000,100,2,0,1,0
2025,1,40000,0,2,0,1,0
2024,3,196900,0,2,0,1,0
2025,1,105000,100,2,0,1,0
2023,3,145000,0,2,0,1,0
2024,3,190000,0,2,0,1,0
2025,3,85081,100,2,0,1,0
2024,1,66900,0,2,0,1,0
2025,3,350000,0,3,0,1,0
2025,3,144200,0,2,0,1,0
2025,2,95000,0,2,0,1,0
2025,2,92000,0,2,0,1,0
2024,3,204000,0,2,0,1,0
2025,1,43520,0,2,0,1,0
2024,2,113000,0,2,0,1,0
2023,3,111967,100,2,0,1,0
2025,3,350000,0,2,0,1,0
2024,3,133600,0,2,0,1,0
2024,2,56250,0,2,0,1,0
2025,2,165000,100,2,0,1,0
2024,3,99000,0,2,0,1,0
2024,3,252000,0,2,0,1,0
2024,3,160000,0,2,0,1,0
2024,3,166000,0,2,0,1,0
2024,2,93000,0,2,0,1,0
2024,3,279400,0,2,0,1,0
2025,2,63291,0,2,0,1,0
2025,1,68000,100,2,0,1,0
2025,1,44650,0,2,0,0,1
2025,3,161000,0,2,0,1,0
2024,3,176000,0,2,0,1,0
2025,2,219100,100,2,0,1,0
2024,2,208800,0,2,0,1,0
2025,4,227950,0,2,0,1,0
2023,2,220000,0,2,0,1,0
2024,2,209000,100,2,0,1,0
2025,2,82450,0,2,0,1,0
2024,3,104000,0,2,0,1,0
2024,2,222200,0,3,0,1,0
2024,3,96600,0,2,0,1,0
2024,2,212800,0,3,0,1,0
2025,1,42105,0,2,0,1,0
2024,3,136500,0,2,0,1,0
2024,3,96600,0,2,0,1,0
2024,2,164200,100,2,0,1,0
2024,3,201250,0,2,0,1,0
2023,2,187500,0,2,0,1,0
2024,3,86700,0,2,0,1,0
2024,2,102500,0,2,0,1,0
2025,3,76208,100,2,0,1,0
2024,4,120000,0,2,0,1,0
2024,3,85000,0,2,0,1,0
2025,3,193000,0,2,0,1,0
2025,2,200000,0,2,0,1,0
2025,3,100000,100,2,0,1,0
2025,3,322000,100,2,0,1,0
2024,3,226000,0,2,0,1,0
2024,3,84000,0,2,0,1,0
2024,3,110000,100,2,0,1,0
2024,3,100000,0,2,0,1,0
2024,2,161000,0,2,0,1,0
2023,3,254000,0,2,0,1,0
2024,3,175000,0,2,0,1,0
2025,1,80000,0,2,0,1,0
2025,2,214500,0,2,0,1,0
2024,3,355000,0,2,0,1,0
2025,2,154125,0,2,0,1,0
2025,2,130000,0,2,0,1,0
2025,2,170000,100,2,0,1,0
2025,2,136000,0,3,0,1,0
2025,3,296600,100,2,0,1,0
2025,1,110000,0,2,0,1,0
2024,3,180000,0,2,0,1,0
2025,2,78894,0,2,0,1,0
2024,3,94800,100,2,0,1,0
2024,1,70800,0,2,0,1,0
2024,2,82700,0,2,0,1,0
2024,3,43700,0,2,0,1,0
2024,2,107633,0,2,0,1,0
2025,1,65000,100,2,0,1,0
2025,3,150000,100,2,0,1,0
2024,2,139000,0,2,0,1,0
2024,3,175800,0,2,0,1,0
2025,3,152000,100,2,0,1,0
2023,2,133000,0,2,0,1,0
2025,3,131250,0,2,0,1,0
2024,2,72100,0,2,0,1,0
2025,2,170000,0,2,0,1,0
2024,3,185000,0,2,0,1,0
2025,3,46000,0,2,0,1,0
2024,3,214400,100,2,0,1,0
2025,3,170373,0,2,0,1,0
2025,3,252000,0,2,0,1,0
2024,3,111500,100,2,0,1,0
2025,4,125000,0,2,0,1,0
2025,3,230000,0,2,0,1,0
2023,3,181500,0,2,0,1,0
2024,3,31200,100,2,0,1,0
2025,3,137600,100,2,0,1,0
2025,1,44000,0,2,0,1,0
2025,2,82900,100,2,0,1,0
2025,2,180000,0,2,0,1,0
2024,2,200000,0,2,0,1,0
2025,3,100000,0,2,0,1,0
2025,3,218030,0,2,0,1,0
2025,3,250200,0,2,0,1,0
2024,3,180000,0,2,0,1,0
2024,2,163700,0,2,0,1,0
2025,2,100000,0,2,0,1,0
2025,1,34800,0,2,0,1,0
2025,3,272000,0,2,0,1,0
2024,3,175000,0,2,0,1,0
2025,3,244200,0,2,0,1,0
2025,3,170000,0,2,0,1,0
2025,2,67236,0,2,0,1,0
2024,4,163680,0,2,0,1,0
2024,3,140000,0,2,0,1,0
2024,3,355000,0,2,0,1,0
2024,3,212800,0,3,0,1,0
2024,2,110900,0,2,0,1,0
2025,2,244000,0,2,0,1,0
2025,3,162200,0,2,0,1,0
2025,2,72500,0,2,0,1,0
2025,1,80633,0,2,0,1,0
2024,2,97421,100,2,0,1,0
2024,3,120000,0,2,0,1,0
2024,4,78000,0,2,0,1,0
2024,3,206100,0,2,0,1,0
2025,3,208000,0,2,0,1,0
2024,2,98582,0,2,0,1,0
2024,3,67900,0,2,0,1,0
2024,4,228000,0,2,0,1,0
2025,2,141000,0,2,0,1,0
2025,3,144200,0,2,0,1,0
2025,2,66000,0,2,0,1,0
2024,3,300000,0,2,0,1,0
2025,3,132000,0,2,0,1,0
2025,3,111100,0,2,0,1,0
2022,3,191475,100,2,0,1,0
2022,2,100000,0,2,0,1,0
2025,3,180000,0,2,0,1,0
2025,3,272000,0,2,0,1,0
2024,2,252000,0,2,0,1,0
2024,3,220000,0,2,0,1,0
2025,3,160000,0,2,0,1,0
